Date,POUND_Rate,Buy,Sell
30/06/2021,149.2029,149.0488,149.3571
29/06/2021,149.9185,149.7647,150.0724
28/06/2021,150.0071,149.8565,150.1576
25/06/2021,150.1394,149.9841,150.2947
24/06/2021,150.7074,150.5565,150.8582
23/06/2021,149.7756,149.6241,149.9271
22/06/2021,149.7256,149.5682,149.8829
21/06/2021,149.9062,149.7524,150.06
18/06/2021,151.2641,151.1118,151.4165
17/06/2021,152.1418,151.9859,152.2976
16/06/2021,151.7326,151.5782,151.8871
15/06/2021,152.13,151.9741,152.2859
14/06/2021,152.535,152.3788,152.6912
11/6/2021,152.2524,152.0994,152.4053
10/6/2021,152.7259,152.5676,152.8841
9/6/2021,152.6885,152.5294,152.8476
8/6/2021,152.8376,152.6806,152.9947
7/6/2021,152.6656,152.5094,152.8218
4/6/2021,152.9326,152.7765,153.0888
3/6/2021,152.4047,152.2488,152.5606
2/6/2021,152.7215,152.5712,152.8718
31/05/2021,152.3244,152.1641,152.4847
28/05/2021,152.2997,152.1424,152.4571
27/05/2021,152.1376,151.9818,152.2935
26/05/2021,152.5926,152.4359,152.7494
25/05/2021,152.625,152.4694,152.7806
24/05/2021,153.6226,153.4647,153.7806
21/05/2021,152.9074,152.7535,153.0612
20/05/2021,152.7032,152.5412,152.8653
19/05/2021,152.6259,152.4682,152.7835
18/05/2021,151.2806,151.1241,151.4371
17/05/2021,150.4406,150.2841,150.5971
13/05/2021,151.2103,151.0518,151.3688
12/5/2021,150.9109,150.7547,151.0671
11/5/2021,150.3194,150.1635,150.4753
10/5/2021,148.4338,148.2794,148.5882
7/5/2021,147.6709,147.52,147.8218
6/5/2021,148.8344,148.6806,148.9882
5/5/2021,148.9318,148.7782,149.0853
4/5/2021,149.3815,149.2276,149.5353
3/5/2021,149.9076,149.7565,150.0588
30/04/2021,150.2724,150.1165,150.4282
29/04/2021,149.7256,149.57,149.8812
28/04/2021,149.8835,149.7294,150.0376
27/04/2021,150.1397,149.9841,150.2953
26/04/2021,150.5344,150.3818,150.6871
23/04/2021,150.6824,150.5312,150.8335
22/04/2021,150.7471,150.5935,150.9006
21/04/2021,150.9038,150.75,151.0576
20/04/2021,150.0709,149.9124,150.2294
19/04/2021,148.0182,147.8671,148.1694
16/04/2021,147.6818,147.5276,147.8359
15/04/2021,147.1026,146.9524,147.2529
14/04/2021,146.8641,146.7118,147.0165
13/04/2021,147.3482,147.1971,147.4994
12/4/2021,147.2344,147.0794,147.3894
9/4/2021,148.4721,148.32,148.6241
8/4/2021,149.14,148.9882,149.2918
7/4/2021,150.2585,150.1041,150.4129
6/4/2021,150.1647,150.0118,150.3176
1/4/2021,150.6715,150.5194,150.8235
31/03/2021,150.6859,150.5353,150.8365
30/03/2021,151.5456,151.3924,151.6988
29/03/2021,151.0079,150.8541,151.1618
26/03/2021,150.45,150.2965,150.6035
25/03/2021,150.9453,150.7924,151.0982
24/03/2021,151.8612,151.7094,152.0129
23/03/2021,152.4394,152.2859,152.5929
22/03/2021,152.6353,152.4812,152.7894
19/03/2021,153.1671,153.0112,153.3229
18/03/2021,152.6576,152.5029,152.8124
17/03/2021,151.9391,151.7835,152.0947
16/03/2021,152.7074,152.5547,152.86
15/03/2021,152.6676,152.5141,152.8212
12/3/2021,152.6291,152.4759,152.7824
11/3/2021,152.1768,152.0218,152.3318
10/3/2021,152.1291,151.9735,152.2847
9/3/2021,151.8668,151.7118,152.0218
8/3/2021,151.9174,151.7606,152.0741
5/3/2021,152.9971,152.8429,153.1512
4/3/2021,153.1271,152.9706,153.2835
3/3/2021,152.7524,152.5982,152.9065
2/3/2021,153.1579,153.0106,153.3053
1/3/2021,153.4774,153.3159,153.6388
26/02/2021,154.8356,154.68,154.9912
25/02/2021,155.22,155.0635,155.3765
24/02/2021,154.3982,154.2412,154.5553
23/02/2021,153.6456,153.4947,153.7965
22/02/2021,153.4524,153.2982,153.6065
19/02/2021,152.6632,152.5088,152.8176
18/02/2021,151.8674,151.7129,152.0218
17/02/2021,152.1432,151.9871,152.2994
16/02/2021,151.9403,151.7853,152.0953
15/02/2021,151.1591,151.0076,151.3106
12/2/2021,151.4441,151.2912,151.5971
11/2/2021,150.3426,150.1888,150.4965
10/2/2021,150.8656,150.7141,151.0171
9/2/2021,150.2779,150.1247,150.4312
8/2/2021,150.1268,149.9759,150.2776
5/2/2021,149.7432,149.5912,149.8953
4/2/2021,149.8768,149.7259,150.0276
3/2/2021,150.2494,150.0965,150.4024
2/2/2021,150.8779,150.7224,151.0335
1/2/2021,150.8768,150.7218,151.0318
29/01/2021,150.5468,150.3935,150.7
28/01/2021,150.9574,150.8029,151.1118
27/01/2021,150.6179,150.4647,150.7712
26/01/2021,150.7088,150.5576,150.86
